Soil_Cd,Shoot_Cd,Basidiomycota
2.66,8.64,2.44
3.53,17.69,1.62
2.88,13.85,14.74
4.65,9.87,1.42
4.71,10.51,1.29
4.47,12.53,2.14
8.6,18.72,28.41
6.01,16.19,43.04
9.79,19.77,21.38
6.39,16.36,12.14
6.01,17.13,27.06
9.6,19.5,8.21
4.01,8.24,0.38
4.19,9.88,0.44
6.17,14.47,0.2
5.97,9.68,0.25
4.77,7.33,0.38
4.56,11.41,0.46
7.13,23.36,2.82
8.06,20.05,0.14
10.51,23.56,1.15
11.43,26.2,0.54
11.02,17.9,0.81
6.34,13.62,0.24
4.2,7.23,1.03
2.87,7.96,4.8
5.71,8.59,25.56
3.31,9.64,8.06
2.63,7.65,3.04
4.67,11.07,25.83
6.07,20.04,24.98
4.87,14.94,28.97
5.39,16.01,35.32
7.42,11.4,45.84
8.33,9.7,41.23
8,11.45,53.42
4.59,4.27,3
4.4,3.94,2.11
4.15,12.15,1.01
5.11,9.35,0.79
4.95,10.67,5.92
4.35,8.05,3.71
7.51,21.98,10.25
6.2,17.15,2.7
8.94,14.93,0.69
5.32,21.36,3.37
9.98,17.97,0.19
9.84,14,0.71
9.99,8.14,42.03
3.27,12.06,19.52
6.05,9.3,13.35
4.97,9.37,46.02
3.8,10.99,33.83
3.43,8.54,36.19
6.5,12.22,26.62
11.03,7.47,33.41
7.31,6.74,41.55
10.1,13.46,45.67
15.57,12.71,29.8
18.89,11.06,18.94
4.02,9.95,3.72
5.52,7.91,6.56
3.16,9.26,2.52
5.21,8.23,4.06
3.96,11.63,1.49
4.59,10.49,2.05
6.28,14.34,2.27
5.72,50.63,0.74
8.69,18.81,1.7
7.18,13.31,4.15
11.24,17.45,1.49
9.36,12.66,0.7