Soil,pH,EC,SOM,TN,TP,Clay,CEC,Fe,Mn,Al,Cd
S1,4.25,0.32,21.84,2.3,0.92,109.1,21,27.45,0.11,7.31,0.1
S2,4.56,0.22,22.57,1.37,0.77,334,16.48,21.31,0.03,6.17,0.2
S3,5.1,0.28,26.9,1.21,0.42,141.6,9.5,3.65,0.06,7.03,0.11
S4,5.34,0.12,25.51,2.54,1.02,83.9,37.21,14.23,0.43,6.7,0.2
S5,5.4,0.12,22.31,1.91,1.68,74.6,14.39,16.55,0.32,12.03,0.21
S6,5.61,0.04,29.48,1.81,0.39,244.4,9.81,11.28,0.03,1.23,0.13
S7,5.65,0.19,13.36,1.61,0.81,47,31.81,8,0.44,6.55,0.3
S8,5.8,0.13,24.01,0.32,6.42,111.2,8.33,5.13,0.16,0.13,0.22
S9,5.86,0.06,10.43,1.6,0.76,78.3,13.1,25.25,0.38,8.07,0.36
S10,5.87,0.12,32.38,0.22,4.58,179.9,13.58,5.05,0.17,0.23,0.21
S11,6.16,0.28,9.73,1.21,0.86,108.8,37.83,14.34,0.45,6.35,0.17
S12,6.6,0.19,27.61,1.63,0.58,337.4,13.9,23.34,0.49,2.61,0.37
S13,6.74,0.09,6.13,0.91,0.47,84.4,21.43,13.52,0.82,8.34,0.2
S14,6.82,0.12,33.43,2.03,0.55,262.4,20.42,8.07,0.13,0.69,0.14
S15,7.44,0.12,22.56,1.34,0.72,217.6,18.43,13.06,0.23,1.05,0.18
S16,7.52,0.18,28.08,1.75,1.43,142.8,15.48,3.59,0.31,3.11,0.29
S17,7.76,0.23,9.64,1.71,1.07,47.6,9.46,14.49,0.41,5.22,0.24
S18,8.09,0.14,11.6,0.79,0.63,155.8,19.89,7.05,0.52,0.57,0.36